	neutrophils	lymphocytes	monocytes	eosinophils	basophils
A1BG	-1.1545919070640458	-0.11952630341405604	-0.03780199817833947	-0.06778015375464225	-0.0005432902337575997
A2M	-1.8241968047009331	-0.14723455176633202	-0.08249085480492563	-0.04154423836387918	0.005169449850340488
AAAS	-1.910855838380262	0.07175158795091416	-0.07760201545542561	0.007419157646308816	-0.00516727917043475
AACS	-1.8232746605651309	0.19432296127408566	-0.04758985112116875	0.15967620450339298	0.004395658258252747
AAK1	-0.4228617773874958	0.15752798425743728	-0.018271392373985926	0.013785501978294697	0.0016989754077029007
AAMP	-2.1702612301547144	-0.18279895180247252	-0.03331117896796369	-0.027474437495522266	-0.008928791079682842
AARS	-2.157032206122789	0.2679569455745563	-0.07598641190136891	0.014069765332405067	-0.0027519369831148894
AARS2	-2.0707095834648457	0.2971400458451015	-0.09285172702478794	-0.005771257597025967	-0.0018595208380997228
AARSD1	-2.300572862656869	0.24452601705108323	-0.11298712672804874	-0.03306652865736807	0.001428030196716946
AASDH	-1.9760132813551843	0.2547909547007845	-0.07027187422000422	0.041396282616395115	0.0016528652168122894
AASDHPPT	-1.6791701021929586	-0.06359552689780854	-0.05440610912617891	0.019019117829921037	-0.004895614233607054
AASS	-1.0821888088833818	0.36329362493661344	-0.07099979462834898	-0.013379706993908115	0.000790502261274509
AATF	-0.2488499487602232	-0.1855016127665564	-0.028589196868357303	0.010001975620691973	-0.005306573028959448
ABAT	0.5231595284288483	-0.19117489085801614	-0.00925765031992514	-0.03434861588147845	-0.000707393341185422
ABCA1	0.7380281602936832	-0.3687042768766349	-0.0035771406069387236	-0.014310874121390189	-0.0046100543739252525
ABCA10	-1.2476205102325792	0.19510036099750608	-0.08305198092145871	-0.01287909384250582	0.0009999983535979257
ABCA11P	-1.3882814735275824	0.29455047844334803	-0.08876467896316001	0.01424701375842234	0.0031714559883354067
ABCA13	1.1929985665827787	-0.13207735467197448	0.07100676691889878	-0.01354961751263106	-0.0012649023169588203
