	neutrophils	lymphocytes	monocytes	eosinophils	basophils
A1BG	0.9086303240719386	0.0980454485197003	0.008448181772514121	-0.04870257439789268	0.007974984302191596
A1BG-AS1	0.6523966219098905	0.10877778506638386	-0.0030051776318866276	-0.09239679670981993	-0.0018146456273687357
A2M	0.11287137991352018	-0.002811287674760388	-0.00435920382986477	-0.03727324678546287	-0.00022626929650206706
A2M-AS1	0.3826740785490216	0.08231175457206982	-0.023334726313471332	-0.0819389153149455	0.0018988375955407413
A2ML1	-0.06694030870116104	-0.023232954017044304	0.007136369613441531	0.017490510206551325	-0.0022757400520597537
A3GALT2	0.7486456659661023	0.1786992395266236	-0.01125303313420498	-0.037053441486288356	0.0029733310193091216
A4GALT	-0.17146969372137294	-0.006068190504271907	0.010141584711480677	0.16040330439761322	0.0016145416509874117
AAAS	-0.4375078050752422	0.07573254567012194	0.02321994974784213	0.12065927967320936	0.002009860073376081
AACS	0.07641560224145802	0.04223587774833895	0.01872617378161308	0.2740863768157108	0.0032228042106041137
AACSP1	0.3931299268131481	0.040406146127534896	0.012872814136168077	0.004720406501985849	0.0006848589047038427
AADAC	-0.08954021216827236	-0.02853879264818908	0.00492662632338786	0.0815996925466502	0.0017976639513285493
AADACL2	-0.07429143831693291	-0.1945943469944355	-0.021855724333520482	-0.15620467694855136	0.0033422142187060177
AADAT	-0.039288041024790096	0.033940180822682665	-0.031153779380078725	-0.11302136936218524	0.0006068687662117655
AAED1	0.14552689560283788	0.013058516684891731	-0.01132210455238758	-0.08864983890975611	0.0014159852533892315
AAGAB	-0.5179423935438552	-0.07097322945396284	0.0038313334414719156	-0.15550716312946763	-0.006600150608527937
AAK1	0.49461064524446907	0.029965009241158323	0.00827510672357933	-0.010556078666860261	-0.00031370655718813956
AAMDC	-0.40849352096917174	0.049473572354664055	-0.001905033794267686	0.0067844219681067125	0.0005991797622694388
AAMP	-0.44534034068487227	-0.0007172507058763834	0.007056594653277766	-0.03555954601380495	-0.001978304967859811
AAR2	-0.8603434286921146	-0.041659317011424925	0.022396254837717743	0.1318790110868867	0.003174846651268344
AARS	-0.07541183224804551	-0.04657760533143918	0.010022459613889562	0.05155210529413634	0.0014869920464093422
AARS2	0.6570547990997898	0.09141958683545859	0.00703248552600944	-0.007440774130156697	0.00027079602013381184
AARSD1	-0.45245594468163974	-0.07849592014056268	-0.008490231206126218	0.03722410796037479	0.0007656484268876292
AASDH	0.6225693023146666	0.1091955113898149	0.008084838786209362	-0.11727621540639369	-0.0018109922189245204
AASDHPPT	-0.008679526935465962	-0.04682162402895357	-0.03209164142876373	-0.21518254934017114	-0.004062021238171624
AASS	0.44288797550895803	0.03334210375043263	-0.0039938722463507305	-0.11203015952227299	-0.004436031848189315
AATF	-0.7507124896915697	-0.10957676503887646	-0.00392863461425087	0.06340250059776165	0.0013371487064861344
AATK	0.47775014886379497	-0.043181247188688265	0.012585248875886882	-0.04255917846274608	-0.00350549895577923
ABAT	0.10623227868342548	-0.01301042085949156	-0.013828430209233689	-0.06526399535880305	0.0009369090703928424
ABCA1	0.26562545681990263	0.01149484766901963	0.0033077233465054422	-0.05164993362191947	-0.0010979198712023457
ABCA10	0.4142306985301678	0.056925629322402096	0.008015296809093972	0.028269287095021724	0.0006314179121583113
ABCA11P	0.4730367639338447	0.045733230109552964	-0.009339296733162788	-0.07891657937547114	0.0012175118852674513
ABCA12	0.20259135827417155	-0.023871971859125322	0.020486935195419272	-0.035738342084517406	-0.0020266867470038574
ABCA13	0.25548429555329955	-0.0012482862725326626	-0.004548695332503549	-0.046458208334999175	8.366508376170793e-05
ABCA2	0.28625549393548116	0.03797650941164041	-0.009186715269521042	-0.003854983903341269	0.0021587293168497976
ABCA3	0.05942413137879089	-0.007975262948478256	-0.012812405799961362	0.01079640824308102	0.00190601694890068
ABCA4	-0.03855595840122251	-0.04263089854173099	-0.027852852353196407	-0.005720767731916066	0.0034319018476730435
ABCA5	0.35670537001504	0.04387843604326671	0.001891440363828466	0.004326647322747647	0.0006519003233146003
ABCA6	0.30444400377342085	-0.0011953032887351452	0.011233262405890166	-0.07502169382991344	-0.0050222798273337746
ABCA7	0.33586846944058596	0.05993767503007888	-0.005730091192458611	-0.014939264834175493	-0.0013505196378861212
ABCA9	0.44388974733536923	0.10833276727139203	0.029817690569332148	0.03536864785162999	-0.0011228874561937461
ABCB1	0.2398102663777276	0.03289886879289068	-0.007465571340563128	-0.08086882418540327	0.00023796649436416797
ABCB10	0.541285920665338	0.008168677598797153	-0.013842508498091795	-0.12381069709166623	0.0020777977186010113
ABCB11	0.08570875881522565	0.0060732929195864	-0.01163883641139967	-0.06324566938535507	0.00016371035701076689
ABCB4	0.8420402442195242	0.12267265789750567	-0.015984416760946737	-0.12785367907726553	0.002254604642717591
ABCB5	0.1530856476807957	0.013308363578540254	-3.236145413810913e-05	0.0312760632496979	0.002995340140954618
ABCB6	0.3818336570768534	0.011954795589620378	-0.020278135479428895	-0.04545994848613237	-0.0012841376232372776
ABCB7	-0.024101327393637212	0.04779141056332133	-0.011485827820606684	-0.19356309246977701	-0.0021758777169999326
ABCB8	0.46517000046728185	0.02894832388895424	0.005954862538799217	0.010051192412969397	0.00127659055356002
ABCB9	0.45306293061817554	0.12152548331646364	0.028628098539332056	0.09398163054722745	-0.0011189480513417917
ABCC1	0.2927802845546577	-0.021217781690809408	0.004685720896679447	0.10974443297150134	0.0013667938231819087
