	neutrophils	lymphocytes	monocytes	eosinophils	basophils
A1BG	0.25328009191060546	-0.04759728138286412	0.0280446542708941	0.0028756105108939736	0.0021771272392576363
A1CF	0.33107664691621663	-0.14676174779953452	0.01071302952905374	-0.043160706722805774	0.0027507188421802093
A2M	-0.40775881310655004	0.14998349602704195	-0.031123798588066343	-0.0069925864121922815	-0.0022529683908056397
A2ML1	0.12523163369675108	0.019782829392605505	0.017969931349779186	0.024575753111370106	0.0035631543580984387
A4GALT	0.07704711015294494	-0.13480279538834827	-0.015883413682063346	-0.011152782986544924	-0.0023510832429705472
A4GNT	0.0925027639393084	-0.04340358954480769	0.024496584726985852	0.00264585444296	-0.0012492453227409544
AAAS	-0.2011290660347136	0.08495037393710386	0.032604387000380736	0.0031575272363200194	-0.0042725917992373595
AACS	-0.11551170635188435	0.10413355761632656	0.04508452445496926	0.047396775757557554	-0.0023221127140860796
AADAC	0.13986887160033112	-0.016790778308825305	0.0006087991474492405	-0.003119850169902301	0.008141808276902952
AADACL2	0.2301530489432164	-0.0742725914894725	-0.005934066686313799	-0.002819443927678765	0.0017975476801286561
AADAT	0.058713288253940066	-0.0016532180022408305	-0.018309295964887867	0.015583691698293017	0.006204596970293278
AAK1	-0.49909750693361427	0.2342595780828409	-0.03583115883022438	-0.0029815780825277922	-0.0026201815073361276
AAMP	-0.14875179262847912	0.019611173326880615	0.06226848184214147	-0.0019750462325435984	-0.003676258272350247
AANAT	-0.00018637576563221292	-0.08540879114508453	0.0023673032331964494	0.010354133624976974	-0.001335796935783376
AARS	-0.4511981261187812	0.3262047232325608	-0.0020271461162355304	0.005408923799844923	-0.0007811496143625331
AARS2	-0.20500230241799053	0.19412821292736046	-0.006375251285811737	-0.022662330655678707	-0.0011061831131556027
AARSD1	-0.44973105189898843	0.3386619638683066	0.034661524974038696	0.0015615740687594127	-0.0025264746583654957
AASDH	-0.13392468114811018	0.05145703291710741	0.006069760356893659	0.00011822303794980799	0.0008219880322834444
AASDHPPT	-0.2556863359254376	0.07336095094931461	0.022652274222233502	0.004675624436897804	-0.0012152570102647552
AASS	-0.9368244749909316	0.4611577982657002	-0.09212196374356683	-0.043746433881919594	0.0022514143595707657
AATF	0.0547236234544371	0.05762742315253386	0.04013414922695219	0.026504913414586072	-0.004619321853509556
ABAT	-0.017079012117860788	-0.06872595448217583	-0.016701334041850695	-0.012786911152069702	-0.0014877188740332584
ABCA1	0.20744989430483035	-0.26139110060581333	-0.0122515885371598	-0.01044708655131725	-0.005346916715595216
ABCA10	-0.2531387880647329	0.2254427957957082	-0.032046574019015533	-0.0031572784102101153	0.007503523533602528
ABCA11P	-0.16669940653376353	0.09375826959601385	-0.02117402552541321	-0.0008889300298428639	0.005012512225639522
ABCA12	0.3536512485099248	-0.08661797330246129	-0.010187371817206359	-0.007117601494676787	0.007619852083059316
ABCA13	1.110400475957684	-0.0810145700330143	0.10766272642100076	0.019903513910174114	0.008021261496254883
ABCA2	0.22275219760000137	0.06456629125085511	-0.004380668312483391	-0.025333186721038767	-0.008105105333531516
ABCA3	0.22254250128541475	0.08940015451483915	-0.0037728598206277636	-0.021943352046306402	-0.004371287010349544
ABCA4	0.5122547296470549	-0.11030888323000003	-0.0013290744689065104	-0.011756894567478953	0.004866571965605889
ABCA5	-0.1762444183969855	0.13018884497177619	-0.017194391591195825	0.0014780209214595268	0.0026068377168473773
ABCA6	0.0038652485591924024	0.2766397685965636	0.010313581011103592	0.010328537557634479	0.007085749254897985
ABCA7	0.5437918701771702	-0.1422559905696288	0.016658947610250677	-0.0015253461322804196	-0.003966311326714534
ABCA8	0.4801922408421426	-0.04886888890930957	-0.0075634364416002076	0.015346668635060602	0.011098050986894162
ABCA9	0.29502844396463856	0.06213271040476165	0.005340543981489254	0.0062158025937954706	0.010641013711678585
ABCB1	-0.9238851768758276	0.30938179801350363	-0.08050279799382648	-0.03712701479124671	-0.0013137239070039356
ABCB10	-0.4477592685675893	-0.11870558348739761	-0.03849054209339414	-0.023952366235529425	-0.0014369271072595903
ABCB11	0.24164561677401186	-0.07417799342746129	-0.0185082474481284	-0.02080954638402809	0.006527631108166516
ABCB4	-0.4381345310613734	0.4522222038291503	-0.026701463337617512	0.003480706005421927	0.0036391367953512803
ABCB5	-0.45233353814693317	-0.3371515269835285	-0.10385181723970274	-0.06770198968816465	-0.006075422557256889
ABCB6	0.11359321045419257	-0.04724388784721262	0.01193568126945807	-0.05392546909187655	-0.008521934591442595
ABCB7	-0.37089687287908046	0.09821154926181137	0.007345203215284181	0.002818438631883465	0.0008141030464905321
ABCB8	-0.06692896498001473	-0.0838443470043415	-0.02621249204511807	-0.02497352780664009	-0.001876640756441812
ABCB9	0.11496787213592957	-0.1253128996230618	0.009304682506588016	-0.01802367504447233	-0.005253938319858969
ABCC1	-0.21950491990595677	0.12894003161520184	0.023334334311184042	0.050170632523444614	-0.002172563651757932
ABCC10	-0.39080508801400204	0.20288389237544305	0.034650876073751904	0.02506920563640646	-0.007403423530963281
ABCC11	0.18370968368341256	-0.1250431891741776	-0.01126088178965464	-0.01674116273867659	0.0015772794698163221
ABCC12	0.34204852515672574	-0.18266462197706052	0.013908129263039484	-0.0012139661136226637	0.00033273214358179974
ABCC13	-0.304552477017912	-0.21108307279274094	-0.051873830646518126	-0.027637790869259462	-0.003908931712289454
ABCC2	1.0372408943256017	-0.1162835010772057	0.03728658947543552	0.021602930908489214	-0.004078039563669693
ABCC3	0.07340694093558398	-0.31681989233580626	0.07333724374686912	0.005021955663368931	-0.004019386012714664
ABCC4	-0.3520654731528073	-0.12326765866707189	-0.042244162693331484	-0.015120670812949365	-0.0018089670895773424
ABCC5	0.45144310725506387	-0.10708585809850976	0.007167180169022812	0.004161846081293601	-0.003200920024890794
ABCC6	0.28889419888027523	-0.2282720449503543	0.020606213219028904	-0.003398143400445676	-0.00560169484022799
ABCC8	0.3036403572948198	-0.15070879104351692	-0.010593856480566441	-0.020229688538430855	-0.001771104463281574
ABCC9	0.4000978793448582	-0.12712464445591998	-0.005947739392273443	-0.008997456991887726	0.006079707444125329
